timestamp,can_id,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7
178.42999999999998,111,29,172,175,73,251,253,47,128
178.43064999999999,101,0,0,0,0,0,0,0,0
178.628,111,31,188,239,73,0,238,239,127
178.62865,101,0,0,0,0,0,0,0,0
178.826,111,35,204,175,201,253,5,80,128
178.82665,101,0,0,0,0,0,0,0,0
179.02405,111,29,180,143,201,3,18,48,128
179.02464999999998,101,0,0,0,0,0,0,0,0
179.22215,111,29,196,143,73,255,237,47,128
179.22279999999998,101,0,0,0,0,0,0,0,0
179.42005,111,29,180,239,73,0,230,47,128
179.42065,101,0,0,0,0,0,0,0,0
179.61804999999998,111,31,196,239,201,0,242,15,128
179.61865,101,0,0,0,0,0,0,0,0
179.81605,111,35,204,79,201,249,17,80,128
179.81664999999998,101,0,0,0,0,0,0,0,0
180.01405,111,29,172,143,201,0,14,48,128
180.01465,101,0,0,0,0,0,0,0,0
180.2122,111,25,204,175,201,254,253,47,128
180.21285,101,0,0,0,0,0,0,0,0
180.41004999999998,111,25,180,175,201,250,229,47,128
180.4107,101,0,0,0,0,0,0,0,0
180.60805,111,31,204,15,74,2,250,15,128
180.60864999999998,101,0,0,0,0,0,0,0,0
180.80605,111,33,196,175,201,0,254,79,128
180.80689999999998,101,0,0,0,0,0,0,0,0
181.00404999999998,111,31,188,207,201,0,254,79,128
181.0049,101,0,0,0,0,0,0,0,0
181.2022,111,29,212,207,73,252,1,48,128
181.20305,101,0,0,0,0,0,0,0,0
181.40005,111,29,188,239,201,1,246,239,127
181.40089999999998,101,0,0,0,0,0,0,0,0
181.59805,111,35,220,207,201,255,253,47,128
181.5989,101,0,0,0,0,0,0,0,0
181.79604999999998,111,35,204,143,73,2,2,80,128
181.7969,101,0,0,0,0,0,0,0,0
181.99405,111,27,172,111,201,255,5,80,128
181.9949,101,0,0,0,0,0,0,0,0
182.19225,111,27,204,207,73,252,245,47,128
182.1931,101,0,0,0,0,0,0,0,0
182.39005,111,25,172,239,201,253,237,239,127
182.3909,101,0,0,0,0,0,0,0,0
182.58804999999998,111,33,204,239,73,251,253,79,128
182.5889,101,0,0,0,0,0,0,0,0
182.78605,111,35,180,207,201,3,254,79,128
182.7869,101,0,0,0,0,0,0,0,0
182.98405,111,27,172,175,201,4,6,16,128
182.98489999999998,101,0,0,0,0,0,0,0,0
183.1822,111,31,212,207,201,254,249,47,128
183.18304999999998,101,0,0,0,0,0,0,0,0
183.38004999999998,111,29,196,15,202,3,242,207,127
183.38105,101,0,0,0,0,0,0,0,0
183.57805,111,35,220,143,73,253,1,48,128
183.57899999999998,101,0,0,0,0,0,0,0,0
183.77605,111,31,188,143,73,2,14,48,128
183.77705,101,0,0,0,0,0,0,0,0
183.97405,111,27,212,143,201,253,249,47,128
183.97504999999998,101,0,0,0,0,0,0,0,0
184.17229999999998,111,29,180,239,201,253,233,47,128
184.17329999999998,101,0,0,0,0,0,0,0,0
184.37005,111,33,204,47,74,2,238,239,127
184.37105,101,0,0,0,0,0,0,0,0
184.56805,111,35,212,175,201,253,17,80,128
184.56905,101,0,0,0,0,0,0,0,0
184.76604999999998,111,31,180,175,201,4,18,16,128
184.76704999999998,101,0,0,0,0,0,0,0,0
184.96405,111,27,204,175,73,0,250,15,128
184.96505,101,0,0,0,0,0,0,0,0
185.16215,111,27,188,207,201,254,229,15,128
185.1631,101,0,0,0,0,0,0,0,0
185.36005,111,29,196,239,201,253,241,15,128
185.361,101,0,0,0,0,0,0,0,0
185.55804999999998,111,33,204,111,201,250,17,80,128
185.559,101,0,0,0,0,0,0,0,0
185.75605,111,27,180,143,201,0,14,16,128
185.757,101,0,0,0,0,0,0,0,0
185.95405,111,27,212,207,73,255,229,15,128
185.95479999999998,101,0,0,0,0,0,0,0,0
186.1523,111,29,188,15,74,1,230,47,128
186.1531,101,0,0,0,0,0,0,0,0
186.35004999999998,111,35,212,239,201,2,242,15,128
186.3508,101,0,0,0,0,0,0,0,0
186.54805,111,37,196,175,201,252,17,80,128
186.54885,101,0,0,0,0,0,0,0,0
186.74605,111,29,180,111,73,5,22,48,128
186.74685,101,0,0,0,0,0,0,0,0
186.94405,111,31,212,175,201,0,242,47,128
186.9448,101,0,0,0,0,0,0,0,0
187.14215,111,29,196,239,201,2,242,207,127
187.34029999999998,101,0,0,0,0,0,0,0,0
187.34154999999998,111,33,204,175,201,253,253,47,128
187.5383,101,0,0,0,0,0,0,0,0
187.53955,111,31,196,175,73,2,10,48,128
187.73635,101,0,0,0,0,0,0,0,0
187.73755,111,27,164,239,201,253,253,47,128
187.93435,101,0,0,0,0,0,0,0,0
187.93554999999998,111,29,212,175,201,253,225,47,128
188.1325,101,0,0,0,0,0,0,0,0
188.13385,111,29,188,47,74,0,234,239,127
188.3303,101,0,0,0,0,0,0,0,0
188.33155,111,37,212,15,202,251,249,111,128
188.5283,101,0,0,0,0,0,0,0,0
188.52955,111,35,196,143,73,3,10,48,128
188.72629999999998,101,0,0,0,0,0,0,0,0
188.72754999999998,111,29,188,175,201,2,254,47,128
188.9243,101,0,0,0,0,0,0,0,0
188.92555,111,31,220,239,73,254,233,15,128
189.12245,101,0,0,0,0,0,0,0,0
189.1238,111,31,180,207,73,2,238,239,127
189.3203,101,0,0,0,0,0,0,0,0
189.32155,111,31,196,207,73,252,5,80,128
189.5185,101,0,0,0,0,0,0,0,0
189.51954999999998,111,29,188,175,201,1,34,48,128
189.71654999999998,101,0,0,0,0,0,0,0,0
189.71755,111,29,212,207,201,255,241,47,128
189.9145,101,0,0,0,0,0,0,0,0
189.91555,111,27,172,239,73,252,233,47,128
190.1127,101,0,0,0,0,0,0,0,0
190.11384999999999,111,33,204,15,202,0,238,15,128
190.31054999999998,101,0,0,0,0,0,0,0,0
190.31154999999998,111,33,212,143,73,254,13,80,128
190.50854999999999,101,0,0,0,0,0,0,0,0
190.50955,111,31,188,175,201,2,6,240,127
190.70655,101,0,0,0,0,0,0,0,0
190.70755,111,29,220,143,201,255,245,47,128
190.90455,101,0,0,0,0,0,0,0,0
190.90555,111,27,180,207,73,255,233,47,128
191.1027,101,0,0,0,0,0,0,0,0
191.10379999999998,111,31,196,239,73,254,241,47,128
191.30055,101,0,0,0,0,0,0,0,0
191.30155,111,31,196,111,201,250,17,80,128
191.49855,101,0,0,0,0,0,0,0,0
191.49955,111,27,188,143,201,1,22,16,128
191.69655,101,0,0,0,0,0,0,0,0
191.69754999999998,111,27,204,143,201,252,237,79,128
191.89454999999998,101,0,0,0,0,0,0,0,0
191.89555,111,25,164,15,202,252,225,15,128
192.09269999999998,101,0,0,0,0,0,0,0,0
192.09385,111,33,212,239,201,1,242,239,127
192.29055,101,0,0,0,0,0,0,0,0
192.29155,111,35,220,175,73,0,18,48,128
192.48855,101,0,0,0,0,0,0,0,0
192.48954999999998,111,27,180,143,201,0,2,16,128
192.68654999999998,101,0,0,0,0,0,0,0,0
