"timestamp","file_name","byte_4","byte_4_diff","driving_state"
"406.4463","00000001-69B82837.MF4","255","0.0","idle"
"406.6443","00000001-69B82837.MF4","255","0.0","idle"
"406.84245","00000001-69B82837.MF4","255","0.0","idle"
"407.04044999999996","00000001-69B82837.MF4","255","0.0","idle"
"407.23834999999997","00000001-69B82837.MF4","255","0.0","idle"
"407.43635","00000001-69B82837.MF4","255","0.0","idle"
"407.63435","00000001-69B82837.MF4","255","0.0","idle"
"407.8325","00000001-69B82837.MF4","255","0.0","idle"
"408.03045","00000001-69B82837.MF4","255","0.0","idle"
"408.22835","00000001-69B82837.MF4","255","0.0","idle"
"408.42634999999996","00000001-69B82837.MF4","255","0.0","idle"
"408.62435","00000001-69B82837.MF4","254","1.0","idle"
"408.82245","00000001-69B82837.MF4","255","1.0","idle"
"409.02049999999997","00000001-69B82837.MF4","255","0.0","idle"
"409.2183","00000001-69B82837.MF4","0","255.0","driving"
"409.41634999999997","00000001-69B82837.MF4","255","255.0","driving"
"409.61435","00000001-69B82837.MF4","255","0.0","idle"
"409.81239999999997","00000001-69B82837.MF4","254","1.0","idle"
"410.01045","00000001-69B82837.MF4","255","1.0","idle"
"410.20835","00000001-69B82837.MF4","255","0.0","idle"
"410.40635","00000001-69B82837.MF4","0","255.0","driving"
"410.60434999999995","00000001-69B82837.MF4","255","255.0","driving"
"410.80244999999996","00000001-69B82837.MF4","255","0.0","idle"
"411.00045","00000001-69B82837.MF4","255","0.0","idle"
"411.19835","00000001-69B82837.MF4","255","0.0","idle"
"411.39635","00000001-69B82837.MF4","255","0.0","idle"
"411.59434999999996","00000001-69B82837.MF4","255","0.0","idle"
"411.7924","00000001-69B82837.MF4","255","0.0","idle"
"411.9905","00000001-69B82837.MF4","255","0.0","idle"
"412.18834999999996","00000001-69B82837.MF4","255","0.0","idle"
"412.38635","00000001-69B82837.MF4","255","0.0","idle"
"412.58435","00000001-69B82837.MF4","255","0.0","idle"
"412.7824","00000001-69B82837.MF4","255","0.0","idle"
"412.98044999999996","00000001-69B82837.MF4","255","0.0","idle"
"413.1769","00000001-69B82837.MF4","255","0.0","idle"
"413.37489999999997","00000001-69B82837.MF4","255","0.0","idle"
"413.5729","00000001-69B82837.MF4","255","0.0","idle"
"413.7709","00000001-69B82837.MF4","255","0.0","idle"
"413.96885","00000001-69B82837.MF4","255","0.0","idle"
"414.16684999999995","00000001-69B82837.MF4","255","0.0","idle"
"414.36485","00000001-69B82837.MF4","255","0.0","idle"
"414.56284999999997","00000001-69B82837.MF4","255","0.0","idle"
"414.7609","00000001-69B82837.MF4","255","0.0","idle"
"414.9595","00000001-69B82837.MF4","255","0.0","idle"
"415.15749999999997","00000001-69B82837.MF4","255","0.0","idle"
"415.35634999999996","00000001-69B82837.MF4","255","0.0","idle"
"415.55435","00000001-69B82837.MF4","255","0.0","idle"
"415.7509","00000001-69B82837.MF4","255","0.0","idle"
"415.9489","00000001-69B82837.MF4","255","0.0","idle"
"416.14689999999996","00000001-69B82837.MF4","255","0.0","idle"
"416.3449","00000001-69B82837.MF4","255","0.0","idle"
"416.5429","00000001-69B82837.MF4","255","0.0","idle"
"416.74089999999995","00000001-69B82837.MF4","255","0.0","idle"
"416.93885","00000001-69B82837.MF4","255","0.0","idle"
"417.13685","00000001-69B82837.MF4","255","0.0","idle"
"417.33484999999996","00000001-69B82837.MF4","255","0.0","idle"
"417.5329","00000001-69B82837.MF4","255","0.0","idle"
"417.73095","00000001-69B82837.MF4","255","0.0","idle"
"417.9289","00000001-69B82837.MF4","255","0.0","idle"
"418.1269","00000001-69B82837.MF4","255","0.0","idle"
"418.32489999999996","00000001-69B82837.MF4","255","0.0","idle"
"418.5229","00000001-69B82837.MF4","255","0.0","idle"
"418.7209","00000001-69B82837.MF4","255","0.0","idle"
"418.9189","00000001-69B82837.MF4","255","0.0","idle"
"419.1169","00000001-69B82837.MF4","255","0.0","idle"
"419.31489999999997","00000001-69B82837.MF4","255","0.0","idle"
"419.5129","00000001-69B82837.MF4","255","0.0","idle"
"419.7109","00000001-69B82837.MF4","255","0.0","idle"
"419.90889999999996","00000001-69B82837.MF4","255","0.0","idle"
"420.1069","00000001-69B82837.MF4","255","0.0","idle"
"420.3049","00000001-69B82837.MF4","255","0.0","idle"
"420.50289999999995","00000001-69B82837.MF4","255","0.0","idle"
"420.70095","00000001-69B82837.MF4","255","0.0","idle"
"420.89889999999997","00000001-69B82837.MF4","255","0.0","idle"
"421.0969","00000001-69B82837.MF4","255","0.0","idle"
"421.2949","00000001-69B82837.MF4","255","0.0","idle"
"421.49289999999996","00000001-69B82837.MF4","255","0.0","idle"
"421.6909","00000001-69B82837.MF4","255","0.0","idle"
"421.8889","00000001-69B82837.MF4","255","0.0","idle"
"422.08689999999996","00000001-69B82837.MF4","255","0.0","idle"
"422.2849","00000001-69B82837.MF4","255","0.0","idle"
"422.4829","00000001-69B82837.MF4","255","0.0","idle"
"422.68095","00000001-69B82837.MF4","255","0.0","idle"
"422.8789","00000001-69B82837.MF4","255","0.0","idle"
"423.07689999999997","00000001-69B82837.MF4","255","0.0","idle"
"423.2749","00000001-69B82837.MF4","255","0.0","idle"
"423.4729","00000001-69B82837.MF4","255","0.0","idle"
"423.67095","00000001-69B82837.MF4","255","0.0","idle"
"423.8689","00000001-69B82837.MF4","255","0.0","idle"
"424.0669","00000001-69B82837.MF4","255","0.0","idle"
"424.26489999999995","00000001-69B82837.MF4","255","0.0","idle"
"424.4629","00000001-69B82837.MF4","255","0.0","idle"
"424.66094999999996","00000001-69B82837.MF4","255","0.0","idle"
"424.8589","00000001-69B82837.MF4","255","0.0","idle"
"425.0569","00000001-69B82837.MF4","255","0.0","idle"
"425.25489999999996","00000001-69B82837.MF4","255","0.0","idle"
"425.4529","00000001-69B82837.MF4","255","0.0","idle"
"425.65094999999997","00000001-69B82837.MF4","255","0.0","idle"
"425.85035","00000001-69B82837.MF4","255","0.0","idle"
"426.0485","00000001-69B82837.MF4","255","0.0","idle"
"426.2464","00000001-69B82837.MF4","255","0.0","idle"
"426.4444","00000001-69B82837.MF4","255","0.0","idle"
"426.64245","00000001-69B82837.MF4","255","0.0","idle"
"426.8404","00000001-69B82837.MF4","255","0.0","idle"
"427.0385","00000001-69B82837.MF4","255","0.0","idle"
"427.2364","00000001-69B82837.MF4","255","0.0","idle"
"427.4344","00000001-69B82837.MF4","255","0.0","idle"
"427.63239999999996","00000001-69B82837.MF4","255","0.0","idle"
"427.8304","00000001-69B82837.MF4","255","0.0","idle"
"428.02855","00000001-69B82837.MF4","255","0.0","idle"
"428.22639999999996","00000001-69B82837.MF4","255","0.0","idle"
"428.4244","00000001-69B82837.MF4","255","0.0","idle"
"428.62244999999996","00000001-69B82837.MF4","255","0.0","idle"
"428.8204","00000001-69B82837.MF4","255","0.0","idle"
"429.01849999999996","00000001-69B82837.MF4","255","0.0","idle"
"429.21639999999996","00000001-69B82837.MF4","255","0.0","idle"
"429.4144","00000001-69B82837.MF4","255","0.0","idle"
"429.61244999999997","00000001-69B82837.MF4","255","0.0","idle"
"429.81039999999996","00000001-69B82837.MF4","255","0.0","idle"
"430.00849999999997","00000001-69B82837.MF4","255","0.0","idle"
"430.2064","00000001-69B82837.MF4","255","0.0","idle"
"430.40439999999995","00000001-69B82837.MF4","255","0.0","idle"
"430.6024","00000001-69B82837.MF4","255","0.0","idle"
"430.80039999999997","00000001-69B82837.MF4","255","0.0","idle"
"430.99854999999997","00000001-69B82837.MF4","255","0.0","idle"
"431.1964","00000001-69B82837.MF4","255","0.0","idle"
"431.39439999999996","00000001-69B82837.MF4","255","0.0","idle"
"431.59245","00000001-69B82837.MF4","255","0.0","idle"
"431.7904","00000001-69B82837.MF4","255","0.0","idle"
"431.98855","00000001-69B82837.MF4","255","0.0","idle"
"432.1864","00000001-69B82837.MF4","255","0.0","idle"
"432.38439999999997","00000001-69B82837.MF4","255","0.0","idle"
"432.58245","00000001-69B82837.MF4","255","0.0","idle"
"432.7804","00000001-69B82837.MF4","255","0.0","idle"
"432.97855","00000001-69B82837.MF4","255","0.0","idle"
"433.1764","00000001-69B82837.MF4","255","0.0","idle"
"433.3744","00000001-69B82837.MF4","255","0.0","idle"
"433.57245","00000001-69B82837.MF4","255","0.0","idle"
"433.7704","00000001-69B82837.MF4","255","0.0","idle"
"433.96855","00000001-69B82837.MF4","255","0.0","idle"
"434.16639999999995","00000001-69B82837.MF4","255","0.0","idle"
"434.36294999999996","00000001-69B82837.MF4","255","0.0","idle"
"434.56095","00000001-69B82837.MF4","255","0.0","idle"
"434.75894999999997","00000001-69B82837.MF4","255","0.0","idle"
"434.95695","00000001-69B82837.MF4","255","0.0","idle"
"435.15495","00000001-69B82837.MF4","255","0.0","idle"
"435.35294999999996","00000001-69B82837.MF4","255","0.0","idle"
"435.55095","00000001-69B82837.MF4","255","0.0","idle"
"435.74895","00000001-69B82837.MF4","255","0.0","idle"
"435.94694999999996","00000001-69B82837.MF4","255","0.0","idle"
"436.14495","00000001-69B82837.MF4","255","0.0","idle"
"436.34295","00000001-69B82837.MF4","255","0.0","idle"
"436.541","00000001-69B82837.MF4","255","0.0","idle"
"436.73895","00000001-69B82837.MF4","255","0.0","idle"
"436.93694999999997","00000001-69B82837.MF4","255","0.0","idle"
"437.13495","00000001-69B82837.MF4","255","0.0","idle"
"437.33295","00000001-69B82837.MF4","255","0.0","idle"
"437.531","00000001-69B82837.MF4","255","0.0","idle"
"437.72895","00000001-69B82837.MF4","255","0.0","idle"
"437.92695","00000001-69B82837.MF4","255","0.0","idle"
"438.12494999999996","00000001-69B82837.MF4","255","0.0","idle"
"438.32295","00000001-69B82837.MF4","255","0.0","idle"
"438.52094999999997","00000001-69B82837.MF4","255","0.0","idle"
"438.71895","00000001-69B82837.MF4","255","0.0","idle"
"438.91695","00000001-69B82837.MF4","255","0.0","idle"
"439.11494999999996","00000001-69B82837.MF4","255","0.0","idle"
"439.31295","00000001-69B82837.MF4","255","0.0","idle"
"439.51099999999997","00000001-69B82837.MF4","255","0.0","idle"
"439.70894999999996","00000001-69B82837.MF4","255","0.0","idle"
"439.90695","00000001-69B82837.MF4","255","0.0","idle"
"440.10495","00000001-69B82837.MF4","255","0.0","idle"
"440.30294999999995","00000001-69B82837.MF4","255","0.0","idle"
"440.501","00000001-69B82837.MF4","255","0.0","idle"
"440.69894999999997","00000001-69B82837.MF4","255","0.0","idle"
"440.89695","00000001-69B82837.MF4","255","0.0","idle"
"441.09495","00000001-69B82837.MF4","255","0.0","idle"
"441.29294999999996","00000001-69B82837.MF4","255","0.0","idle"
"441.491","00000001-69B82837.MF4","255","0.0","idle"
"441.68895","00000001-69B82837.MF4","255","0.0","idle"
"441.88694999999996","00000001-69B82837.MF4","255","0.0","idle"
"442.08495","00000001-69B82837.MF4","255","0.0","idle"
"442.28294999999997","00000001-69B82837.MF4","255","0.0","idle"
"442.481","00000001-69B82837.MF4","255","0.0","idle"
"442.67895","00000001-69B82837.MF4","255","0.0","idle"
"442.87694999999997","00000001-69B82837.MF4","255","0.0","idle"
"443.07495","00000001-69B82837.MF4","255","0.0","idle"
"443.27295","00000001-69B82837.MF4","255","0.0","idle"
"443.471","00000001-69B82837.MF4","255","0.0","idle"
"443.669","00000001-69B82837.MF4","255","0.0","idle"
"443.86695","00000001-69B82837.MF4","255","0.0","idle"
"444.06494999999995","00000001-69B82837.MF4","255","0.0","idle"
"444.26295","00000001-69B82837.MF4","255","0.0","idle"
"444.46099999999996","00000001-69B82837.MF4","255","0.0","idle"
"444.65895","00000001-69B82837.MF4","255","0.0","idle"
"444.85695","00000001-69B82837.MF4","255","0.0","idle"
"445.05494999999996","00000001-69B82837.MF4","255","0.0","idle"
"445.25295","00000001-69B82837.MF4","255","0.0","idle"
"445.45099999999996","00000001-69B82837.MF4","255","0.0","idle"
"445.65045","00000001-69B82837.MF4","255","0.0","idle"
"445.84844999999996","00000001-69B82837.MF4","255","0.0","idle"
"446.04654999999997","00000001-69B82837.MF4","255","0.0","idle"
"446.24445","00000001-69B82837.MF4","255","0.0","idle"
"446.44245","00000001-69B82837.MF4","255","0.0","idle"
"446.64045","00000001-69B82837.MF4","255","0.0","idle"
"446.83844999999997","00000001-69B82837.MF4","255","0.0","idle"
"447.03659999999996","00000001-69B82837.MF4","255","0.0","idle"
"447.23445","00000001-69B82837.MF4","255","0.0","idle"
"447.4325","00000001-69B82837.MF4","255","0.0","idle"
"447.63045","00000001-69B82837.MF4","255","0.0","idle"
"447.82845","00000001-69B82837.MF4","255","0.0","idle"
"448.0266","00000001-69B82837.MF4","255","0.0","idle"
"448.22445","00000001-69B82837.MF4","255","0.0","idle"
"448.42249999999996","00000001-69B82837.MF4","255","0.0","idle"
"448.62045","00000001-69B82837.MF4","255","0.0","idle"
"448.81845","00000001-69B82837.MF4","255","0.0","idle"
"449.0166","00000001-69B82837.MF4","255","0.0","idle"
"449.21445","00000001-69B82837.MF4","255","0.0","idle"
"449.41249999999997","00000001-69B82837.MF4","255","0.0","idle"
"449.61044999999996","00000001-69B82837.MF4","255","0.0","idle"
"449.80845","00000001-69B82837.MF4","255","0.0","idle"
"450.0066","00000001-69B82837.MF4","255","0.0","idle"
"450.20444999999995","00000001-69B82837.MF4","255","0.0","idle"
"450.4025","00000001-69B82837.MF4","255","0.0","idle"
"452.381","00000001-69B82837.MF4","255","0.0","idle"
"452.58045","00000001-69B82837.MF4","255","0.0","idle"
"452.77844999999996","00000001-69B82837.MF4","255","0.0","idle"
"452.97659999999996","00000001-69B82837.MF4","255","0.0","idle"
"453.173","00000001-69B82837.MF4","255","0.0","idle"
"453.37104999999997","00000001-69B82837.MF4","255","0.0","idle"
"453.56899999999996","00000001-69B82837.MF4","255","0.0","idle"
"453.767","00000001-69B82837.MF4","255","0.0","idle"
"453.965","00000001-69B82837.MF4","255","0.0","idle"
"454.16299999999995","00000001-69B82837.MF4","255","0.0","idle"
"454.361","00000001-69B82837.MF4","255","0.0","idle"
"454.55899999999997","00000001-69B82837.MF4","255","0.0","idle"
"454.757","00000001-69B82837.MF4","255","0.0","idle"
"454.955","00000001-69B82837.MF4","255","0.0","idle"
"455.15299999999996","00000001-69B82837.MF4","255","0.0","idle"
"455.35105","00000001-69B82837.MF4","255","0.0","idle"
"455.549","00000001-69B82837.MF4","255","0.0","idle"
"455.74699999999996","00000001-69B82837.MF4","255","0.0","idle"
"455.945","00000001-69B82837.MF4","255","0.0","idle"
"456.143","00000001-69B82837.MF4","255","0.0","idle"
"456.34105","00000001-69B82837.MF4","255","0.0","idle"
"456.539","00000001-69B82837.MF4","255","0.0","idle"
"456.73699999999997","00000001-69B82837.MF4","255","0.0","idle"
"456.935","00000001-69B82837.MF4","255","0.0","idle"
"457.133","00000001-69B82837.MF4","255","0.0","idle"
"457.33099999999996","00000001-69B82837.MF4","255","0.0","idle"
"457.529","00000001-69B82837.MF4","255","0.0","idle"
"457.727","00000001-69B82837.MF4","255","0.0","idle"
"457.92499999999995","00000001-69B82837.MF4","255","0.0","idle"
"458.123","00000001-69B82837.MF4","255","0.0","idle"
"458.32104999999996","00000001-69B82837.MF4","255","0.0","idle"
"458.519","00000001-69B82837.MF4","255","0.0","idle"
"458.717","00000001-69B82837.MF4","255","0.0","idle"
"458.91499999999996","00000001-69B82837.MF4","255","0.0","idle"
"459.113","00000001-69B82837.MF4","255","0.0","idle"
"459.31104999999997","00000001-69B82837.MF4","255","0.0","idle"
"459.50899999999996","00000001-69B82837.MF4","255","0.0","idle"
"459.707","00000001-69B82837.MF4","255","0.0","idle"
"459.90504999999996","00000001-69B82837.MF4","255","0.0","idle"
"460.10305","00000001-69B82837.MF4","255","0.0","idle"
"460.30105","00000001-69B82837.MF4","255","0.0","idle"
"460.49899999999997","00000001-69B82837.MF4","255","0.0","idle"
"460.697","00000001-69B82837.MF4","255","0.0","idle"
"460.895","00000001-69B82837.MF4","255","0.0","idle"
"461.09299999999996","00000001-69B82837.MF4","255","0.0","idle"
"461.29105","00000001-69B82837.MF4","255","0.0","idle"
"461.489","00000001-69B82837.MF4","255","0.0","idle"
"461.68699999999995","00000001-69B82837.MF4","255","0.0","idle"
"461.885","00000001-69B82837.MF4","255","0.0","idle"
"462.08299999999997","00000001-69B82837.MF4","255","0.0","idle"
"462.28105","00000001-69B82837.MF4","255","0.0","idle"
"462.47905","00000001-69B82837.MF4","255","0.0","idle"
"462.67704999999995","00000001-69B82837.MF4","255","0.0","idle"
"462.87505","00000001-69B82837.MF4","255","0.0","idle"
"463.07304999999997","00000001-69B82837.MF4","255","0.0","idle"
"463.27105","00000001-69B82837.MF4","255","0.0","idle"
"463.469","00000001-69B82837.MF4","255","0.0","idle"
"463.667","00000001-69B82837.MF4","255","0.0","idle"
"463.86499999999995","00000001-69B82837.MF4","255","0.0","idle"
"464.063","00000001-69B82837.MF4","255","0.0","idle"
"464.26104999999995","00000001-69B82837.MF4","255","0.0","idle"
"464.459","00000001-69B82837.MF4","255","0.0","idle"
"464.65704999999997","00000001-69B82837.MF4","255","0.0","idle"
"464.85505","00000001-69B82837.MF4","255","0.0","idle"
"465.05305","00000001-69B82837.MF4","255","0.0","idle"
