"sample_index","file_name","timestamp","byte_4","byte_4_diff","driving_state"
"214","00000001-69B44F7F.MF4","45.3512","2","252.0","driving"
"215","00000001-69B44F7F.MF4","45.54925","3","1.0","idle"
"216","00000001-69B44F7F.MF4","45.7472","0","3.0","idle"
"217","00000001-69B44F7F.MF4","45.9452","3","3.0","idle"
"218","00000001-69B44F7F.MF4","46.143299999999996","255","252.0","driving"
"219","00000001-69B44F7F.MF4","46.3412","255","0.0","idle"
"220","00000001-69B44F7F.MF4","46.53935","254","1.0","idle"
"221","00000001-69B44F7F.MF4","46.7372","255","1.0","idle"
"222","00000001-69B44F7F.MF4","46.935199999999995","0","255.0","driving"
"223","00000001-69B44F7F.MF4","47.13335","255","255.0","driving"
"224","00000001-69B44F7F.MF4","47.331199999999995","1","254.0","driving"
"225","00000001-69B44F7F.MF4","47.52935","252","251.0","driving"
"226","00000001-69B44F7F.MF4","47.727199999999996","252","0.0","idle"
"227","00000001-69B44F7F.MF4","47.9252","250","2.0","idle"
"228","00000001-69B44F7F.MF4","48.1233","255","5.0","idle"
"229","00000001-69B44F7F.MF4","48.3212","255","0.0","idle"
"230","00000001-69B44F7F.MF4","48.5194","254","1.0","idle"
"231","00000001-69B44F7F.MF4","48.7172","0","254.0","driving"
"232","00000001-69B44F7F.MF4","48.9152","255","255.0","driving"
"233","00000001-69B44F7F.MF4","49.11335","255","0.0","idle"
"234","00000001-69B44F7F.MF4","49.3112","2","253.0","driving"
"235","00000001-69B44F7F.MF4","49.509299999999996","4","2.0","idle"
"236","00000001-69B44F7F.MF4","49.7072","253","249.0","driving"
"237","00000001-69B44F7F.MF4","49.9052","254","1.0","idle"
"238","00000001-69B44F7F.MF4","50.1034","3","251.0","driving"
"239","00000001-69B44F7F.MF4","50.301199999999994","4","1.0","idle"
"240","00000001-69B44F7F.MF4","50.499449999999996","254","250.0","driving"
"241","00000001-69B44F7F.MF4","50.697199999999995","253","1.0","idle"
"242","00000001-69B44F7F.MF4","50.895199999999996","252","1.0","idle"
"243","00000001-69B44F7F.MF4","51.09335","253","1.0","idle"
